Title,Land Size,Location,Total Price,Monthly Payment
House For Sale In Katunayake,"Beds-5, Baths-3 Size-sqft",,"27,000,000","383,624"
House For Sale In Beruwala,"Beds-2, Baths-1 Size-sqft",,"17,000,000","241,541"
Land For Sale In Panadura,12 Perches,,"8,100,000","115,087"
House For Sale In Kengalla,"Beds-2, Baths-1 Size-2200sqft",,"16,000,000","227,333"
Land For Sale In Katugastota,12.1 Perches,,"5,500,000","78,146"
House For Sale In Athurugiriya,"Beds-3, Baths-2 Size-1250sqft",,"22,500,000","319,687"
Commercial Building For Sale In Kiribathgoda,4000sqft,,"4,200,000","59,675"
House For Sale In Kottawa,"Beds-4, Baths-2 Size-2250sqft",,,
House For Sale In Kandana,"Beds-6, Baths-2 Size-sqft",,"17,500,000","248,645"
Land For Sale In Padukka,10 Perches,,"1,900,000","26,996"
Annex For Rent In Seeduwa,"Beds-1, Baths-1",,,"9,000"
House For Sale In Veyangoda,"Beds-4, Baths-1 Size-sqft",,"6,000,000","85,250"
House For Sale In Nittambuwa,"Beds-3, Baths-1 Size-2400sqft",,"48,000,000","681,998"
House For Sale In Kadawatha,"Beds-3, Baths-1 Size-sqft",,"13,500,000","191,812"
House For Sale In Katugastota,"Beds-10, Baths-4 Size-6000sqft",,"125,000,000","1,776,037"
Land For Sale In Delgoda,10 Perches,,"3,000,000","42,625"
House For Sale In Katugastota,"Beds-2, Baths-1 Size-2000sqft",,"11,000,000","156,291"
House For Sale In Kadawatha,"Beds-4, Baths-1 Size-1760sqft",,"14,500,000","206,020"
House For Sale In Nittambuwa,"Beds-3, Baths-1 Size-2200sqft",,"38,000,000","539,915"
Land For Sale In Kurunegala,15 Perches,,"3,375,000","47,953"
Land For Sale In Moratuwa,8 Perches,,"7,600,000","107,983"
Land For Sale In Puwakpitiya,10 Acres,,"20,000,000","284,166"
Land For Sale In Peradeniya,10 Perches,,"4,200,000","59,675"
House For Sale In Meepe,"Beds-4, Baths-1 Size-sqft",,"6,200,000","88,091"
House For Sale In Divulapitiya,"Beds-2, Baths-1 Size-sqft",,"2,700,000","38,362"
Land For Sale In Kahathuduwa,6 Perches,,"3,450,000","49,019"
House For Sale In Panadura,"Beds-6, Baths-4 Size-4200sqft",,"73,000,000","1,037,206"
House For Sale In Minuwangoda,"Beds-3, Baths-1 Size-sqft",,"10,000,000","142,083"
Land For Sale In Mirigama,20 Perches,,"16,000,000","227,333"
House For Sale In Polgahawela,"Beds-3, Baths-1 Size-sqft",,,
House For Sale In Chilaw,"Beds-4, Baths-1 Size-sqft",,"16,000,000","227,333"
House For Sale In Kadawatha,"Beds-4, Baths-1 Size-sqft",,"12,500,000","177,604"
Restaurant For Sale In Danowita,3500sqft,,"115,000,000","1,633,954"
House For Sale In Divulapitiya,"Beds-3, Baths-1 Size-sqft",,"11,500,000","163,395"
Land For Sale In Divulapitiya,2.5 Perches,,"30,000,000",
House For Sale In Makola,"Beds-4, Baths-2 Size-sqft",,"38,500,000","547,019"
Land For Sale In Rajagiriya,15 Perches,,,
Land For Sale In Kottawa,6 Perches,,,
House For Sale In Kengalla,"Beds-2, Baths-2 Size-2000sqft",,"13,500,000","191,812"
House For Sale In Divulapitiya,"Beds-2, Baths-1 Size-sqft",,"6,000,000","85,250"
House For Sale In Kadawatha,"Beds-4, Baths-3 Size-sqft",,"18,500,000","262,853"
House For Sale In Lbbagamuwa,"Beds-3, Baths-1 Size-2500sqft",,"14,500,000","206,020"
House For Sale In Galle,"Beds-2, Baths-1 Size-sqft",,"8,500,000","120,771"
House For Sale In Divulapitiya,"Beds-5, Baths-2 Size-sqft",,"10,000,000","142,083"
Land For Sale In Divulapitiya,1.5 Acres,,,
Land For Sale In Maggona,12.5 Perches,,"1,500,000","21,312"
Land For Sale In Horana,10 Perches,,"1,800,000","25,575"
Land For Sale In Alutgama,12.5 Perches,,"1,250,000","17,760"
Land For Sale In Millaniya,12.5 Perches,,"1,875,000","26,641"
Land For Sale In Matugama,10 Perches,,"5,500,000","78,146"
House For Sale In Piliyandala,"Beds-3, Baths-2 Size-1400sqft",,"26,800,000","380,782"
Land For Sale In Horana,10 Perches,,"1,800,000","25,575"
House For Sale In Talawatugoda,"Beds-4, Baths-4 Size-3800sqft",,"58,000,000","824,081"
Land For Sale In Kirindiwela,10 Perches,,"2,700,000","38,362"
House For Sale In Malabe,"Beds-4, Baths-3 Size-4000sqft",,"63,000,000","895,123"
Land For Sale In Athurugiriya,6.2 Perches,,"4,340,000","61,664"
Land For Sale In Homagama,6.3 Perches,,"4,725,000","67,134"
House For Sale In Kadawatha,"Beds-2, Baths-1 Size-1500sqft",,"9,200,000","130,716"
House For Sale In Kadawatha,"Beds-3, Baths-1 Size-1500sqft",,"13,500,000","191,812"
House For Sale In Talawatugoda,"Beds-5, Baths-3 Size-2250sqft",,"28,000,000","397,832"
House For Sale In Divulapitiya,"Beds-7, Baths-1 Size-sqft",,"7,800,000","110,825"
House For Sale In Divulapitiya,"Beds-4, Baths-1 Size-sqft",,"8,500,000","120,771"
House For Sale In Kesbewa,"Beds-5, Baths-2 Size-2200sqft",,"19,500,000","277,062"
Hotel For Sale In Negombo,sqft,,,
House For Sale In Gampaha,"Beds-3, Baths-1 Size-1200sqft",,,
Land For Sale In Divulapitiya,80 Perches,,"7,500,000","106,562"
House For Rent In Maharagama,"Beds-2, Baths-2 Size-1000sqft",,,"50,000"
House For Sale In Gampaha,"Beds-3, Baths-2 Size-sqft",,"9,500,000","134,979"
Land For Sale In Aluthgama,12.5 Perches,,"1,250,000","17,760"
Land For Sale In Wattala,33 Perches,,"1,250,000","655,357"
Bare Land For Sale In Wattala,9 Perches,,"11,250,000","159,843"
Land For Sale In Wattala,24 Perches,,"33,600,000","477,399"
Land For Sale In Nawala,20 Perches,,"12,500,000","3,552,074"
Land For Sale In Wattala,70 Perches,,"154,000,000","2,188,078"
Warehouse For Rent In Wattala,20000sqft,,,
House For Sale In Homagama,"Beds-3, Baths-3 Size-2722sqft",,"29,000,000","412,041"
Land For Sale In Wattala,438 Perches,,,
House For Sale In Homagama,"Beds-3, Baths-3 Size-2722sqft",,"29,000,000","412,041"
House For Sale In Pannipitiya,"Beds-5, Baths-2 Size-sqft",,"39,000,000","554,124"
House For Sale In Pannipitiya,"Beds-5, Baths-2 Size-2722sqft",,"39,000,000","554,124"
House For Sale In Pannipitiya,"Beds-3, Baths-1 Size-3430sqft",,"23,500,000","333,895"
House For Sale In Pannipitiya,"Beds-3, Baths-1 Size-3430sqft",,"23,500,000","333,895"
Room For Rent In Dehiwala,"Beds-1, Baths-1",,,"9,500"
House For Sale In Athurugiriya,"Beds-7, Baths-4 Size-7000sqft",,,
Land For Sale In Nainamadama,103 Perches,,"7,450,000","1,090,274"
House For Sale In Athurugiriya,"Beds-3, Baths-2 Size-2500sqft",,"28,000,000","397,832"
House For Sale In Malabe,"Beds-3, Baths-2 Size-2178sqft",,"30,000,000","426,249"
Land For Sale In Wattala,45 Perches,,"126,000,000","1,790,245"
Land For Sale In Wattala,49 Perches,,,
Commercial Building For Sale In Colombo 10,8200sqft,,"350,000,000","4,972,904"
Land For Sale In Mount Lavinia,50 Perches,,"5,000,000","3,552,074"
House For Sale In Homagama,"Beds-3, Baths-2 Size-1800sqft",,"11,000,000","156,291"
House For Sale In Gampaha,"Beds-4, Baths-1 Size-sqft",,"8,500,000","120,771"
Land For Sale In Godagama,10 Perches,,"3,750,000","53,281"
Land For Sale In Wattala,18 Perches,,"1,600,000","383,624"
Land With House For Sale In Nawala,"Beds-5, Baths-4 Size-3500sqft",,"90,000,000","1,278,747"
House For Sale In Homagama,"Beds-3, Baths-3 Size-1769sqft",,"29,800,000","423,407"
House For Sale In Homagama,"Beds-4, Baths-2 Size-2178sqft",,"28,500,000","404,936"
House For Sale In Homagama,"Beds-4, Baths-2 Size-2178sqft",,"28,500,000","404,936"
Land For Sale In Hanwella,10 Perches,,"3,000,000","42,625"
Room For Rent In Angoda,"Beds-1, Baths-1",,,"10,000"
Land For Sale In Uswetakeiyawa,400 Perches,,,
House For Sale In Wattala,"Beds-3, Baths-2 Size-1800sqft",,"13,500,000","215,143"
Land For Sale In Colombo 14,116 Perches,,,
Land For Sale In Colombo 08,51 Perches,,"5,400,000","4,051,299"
Land For Sale In Colombo 15,64 Perches,,"80,640,000","1,145,757"
Land For Sale In Kadawatha,110 Perches,,"16,500,000","234,437"
Land For Sale In Kumbukwewa,10.5 Acres,,"52,500,000","745,936"
Land With House For Sale In Weligama,60 Perches,,"46,500,000","660,686"
Tea Estate Land For Sale In Elpitiya,1.5 Acres,,"7,200,000","102,300"
Land For Sale In Nainamadama,103 Perches,,"76,735,000","1,090,274"
Land For Sale In Colombo 06,24 Perches,,"38,400,000","545,599"
Land For Sale In Nugegoda,60 Perches,,"156,000,000","2,216,494"
Land For Sale In Kadawatha,60 Perches,,"2,700,000","2,283,820"
House For Sale In Padukka,"Beds-3, Baths-2 Size-1200sqft",,"6,500,000","92,354"
Land For Sale In Dodangoda,10 Perches,,"5,500,000","78,146"
House For Sale In Malabe,"Beds-3, Baths-2 Size-1100sqft",,"18,500,000","262,853"
House For Sale In Talawatugoda,"Beds-4, Baths-3 Size-3000sqft",,"54,000,000","767,248"
House For Sale In Talawatugoda,"Beds-4, Baths-4 Size-7000sqft",,"185,000,000","2,628,535"
House For Sale In Piliyandala,"Beds-3, Baths-3 Size-1500sqft",,,
House For Sale In Nugegoda,"Beds-5, Baths-4 Size-5000sqft",,"90,000,000","1,278,747"
Land For Sale In Pandura,6 Perches,,"4,050,000","57,544"
House For Sale In Kaduwela,"Beds-3, Baths-2 Size-1300sqft",,"21,000,000","298,374"
Land For Sale In Padukka,20 Perches,,"3,900,000","55,412"
Commercial Building For Rent In Colombo 05,350sqft,,,"75,000"
Room For Rent In Nugegoda,"Beds-1, Baths-1",,,"13,000"
House For Sale In Kotte,"Beds-4, Baths-2 Size-2250sqft",,,
Land For Sale In Homagama,39 Perches,,"58,500,000","831,185"
Land For Sale In Katana,15.9 Perches,,"4,500,000","63,937"
Land With House For Sale In Battaramulla,10 Perches,,"43,000,000","610,957"
House For Rent In Ragama,"Beds-2, Baths-1 Size-sqft",,,"35,000"
House For Sale In Colombo 10,"Beds-3, Baths-2 Size-818sqft",,"22,000,000",
Room For Rent In Panadura,"Beds-1, Baths-1",,,"7,000"
Land For Sale In Kottawa,7.9 Perches,,"8,000,000","113,666"
House For Sale In Kiriwattuduwa,"Beds-3, Baths-2 Size-1200sqft",,"15,000,000","213,124"
House For Sale In Gonapola Junction,"Beds-2, Baths-1 Size-1100sqft",,"8,500,000","120,771"
House For Sale In Piliyandala,"Beds-3, Baths-1 Size-1100sqft",,"15,500,000","220,229"
House For Sale In Kiriwattuduwa,"Beds-3, Baths-1 Size-1100sqft",,"13,500,000","191,812"
House For Sale In Meegoda,"Beds-2, Baths-1 Size-1100sqft",,"8,000,000","113,666"
House For Sale In Gampaha,"Beds-5, Baths-2 Size-3000sqft",,"36,000,000","511,499"
House For Sale In Homagama,"Beds-3, Baths-1 Size-1100sqft",,"6,500,000","92,354"
Land For Sale In Gampaha,8 Perches,,"14,400,000","204,599"
House For Sale In Homagama,"Beds-4, Baths-2 Size-2500sqft",,"27,500,000","390,728"
Land For Sale In Colombo 05,7 Perches,,"98,000,000","1,392,413"
Land For Sale In Colombo 05,12 Perches,,"82,800,000","1,176,447"
House For Sale In Wattala,"Beds-5, Baths-3 Size-4745sqft",,"115,000,000","1,633,954"
Land For Sale In Colombo 14,29 Perches,,"165,300,000","2,348,631"
House For Sale In Wattala,"Beds-4, Baths-2 Size-2000sqft",,"24,000,000","397,186"
Land For Sale In Wattala,60 Perches,,"150,000,000","2,131,244"
Land For Sale In Colombo 02,26 Perches,,"520,000,000","8,605,700"
Land For Sale In Wattala,14 Perches,,"33,600,000","556,061"
Hotel For Sale In Negombo,sqft,,,
Shop For Sale In Maharagama,1100sqft,,"80,000,000","1,136,664"
Land For Sale In Wattala,25 Perches,,"60,000,000","992,965"
Land For Sale In Wattala,26 Perches,,,
Land For Sale In Colombo 03,50 Perches,,,
Land For Sale In Ekala,7 Acres,,"650,000","63,715"
Land For Sale In Colombo 05,24 Perches,,,
House For Sale In Kotadeniyawa,"Beds-2, Baths-1 Size-1500sqft",,"3,100,000","44,046"
House For Sale In Giriulla,"Beds-3, Baths-1 Size-1500sqft",,"2,200,000","31,258"
House For Sale In Giriulla,"Beds-2, Baths-1 Size-1000sqft",,"3,000,000","42,625"
House For Sale In Giriulla,"Beds-3, Baths-1 Size-1500sqft",,"3,700,000","52,571"
Land For Sale In Hadapangoda,16.5 Perches,,"2,475,000","35,166"
Land For Sale In Panadura,10 Perches,,"4,500,000","63,937"
House For Sale In Kahathuduwa,114 Perches,,"39,900,000","566,911"
House For Sale In Kiriwattuduwa,"Beds-3, Baths-2 Size-1215sqft",,"15,000,000","213,124"
House For Sale In Mirigama,"Beds-2, Baths-1 Size-1500sqft",,"3,500,000","49,729"
House For Sale In Gampaha,"Beds-2, Baths-1 Size-1500sqft",,"3,200,000","45,467"
House For Sale In Giriulla,"Beds-2, Baths-1 Size-1500sqft",,"2,500,000","35,521"
House For Sale In Katunayake,"Beds-3, Baths-1 Size-1500sqft",,"13,000,000","184,708"
House For Sale In Mihintale,"Beds-2, Baths-1 Size-1000sqft",,"4,500,000","63,937"
House For Sale In Kadawatha,"Beds-8, Baths-6 Size-3500sqft",,,
Commercial Building For Sale In Colombo 10,8200sqft,,"350,000,000","4,972,904"
Land For Sale In Nugegoda,15 Perches,,"90,000,000","1,278,747"
House For Rent In Ragama,"Beds-2, Baths-1 Size-sqft",,,"35,000"
House For Sale In Colombo 05,"Beds-4, Baths-1 Size-5000sqft",,"16,000,000","227,333"
Land For Sale In Polgasowita,16 Perches,,"12,000,000","170,500"
Annex For Rent In Sri Jayawardenepura Kotte,"Beds-2, Baths-1",,,"50,000"
Land For Sale In Piliyandala,6 Perches,,"7,740,000","109,972"
Land For Sale In Wattala,9 Perches,,"10,125,000","143,859"
Land For Sale In Kaduwela,30 Perches,,"21,000,000","298,374"
House For Rent In Piliyandala,"Beds-1, Baths-1 Size-200sqft",,,"20,000"
House For Sale In Negombo,"Beds-2, Baths-1 Size-1200sqft",,"12,000,000","170,500"
House For Sale In Negombo,"Beds-4, Baths-4 Size-3600sqft",,"42,500,000","603,853"
House For Sale In Hali Ela,"Beds-4, Baths-1 Size-1300sqft",,"9,000,000","127,875"
Half Built House For Sale In Mawanella,"Beds-3, Baths-1 Size-45sqft",,"7,000,000","99,458"
House For Sale In Homagama,"Beds-3, Baths-2 Size-1350sqft",,"14,000,000","198,916"
Land For Sale In Ratmalana,9 Perches,,"15,300,000","217,387"
Land With House For Rent In Horana,60 Perches,,,"18,000"
House For Sale In Talawatugoda,"Beds-4, Baths-3 Size-2680sqft",,"33,000,000","468,874"
House For Sale In Malabe,"Beds-4, Baths-2 Size-3250sqft",,"39,500,000","561,228"
Apartment For Sale In Mount Lavinia,"Beds-2, Baths-2 Size-990sqft",,,
House For Sale In Kadawatha,"Beds-3, Baths-3 Size-2850sqft",,,
House For Sale In Dompe,"Beds-2, Baths-1 Size-1100sqft",,"6,500,000","92,354"
House For Sale In Divulapitiya,"Beds-2, Baths-1 Size-1100sqft",,"12,000,000","170,500"
House For Sale In Torayaya,"Beds-3, Baths-1 Size-1925sqft",,"4,800,000","68,200"
House For Sale In Beruwala,"Beds-2, Baths-1 Size-sqft",,"17,000,000","241,541"
Land For Sale In Yakkala,10.05 Perches,,"3,517,500","49,978"
Land For Sale In Homagama,6 Perches,,"5,490,000","78,004"
Land For Sale In Padukka,10 Perches,,"1,950,000","27,706"
Annex For Rent In Dehiwala,"Beds-1, Baths-1",,,"35,000"
Building For Rent In Piliyandala,450sqft,,,"21,500"
House For Sale In Nugegoda,"Beds-8, Baths-6 Size-3800sqft",,,
House For Sale In Piliyandala,"Beds-5, Baths-4 Size-4200sqft",,"55,000,000","781,456"
House For Sale In Talawatugoda,"Beds-4, Baths-4 Size-3800sqft",,"58,000,000","824,081"
House For Sale In Nugegoda,"Beds-4, Baths-4 Size-4500sqft",,"130,000,000","1,847,078"
House For Sale In Rajagiriya,"Beds-4, Baths-5 Size-4500sqft",,"135,000,000","1,918,120"
House For Sale In Talawatugoda,"Beds-4, Baths-4 Size-3800sqft",,"58,000,000","824,081"
House For Sale In Pelawatta,"Beds-4, Baths-4 Size-4500sqft",,"125,000,000","1,776,037"
House For Sale In Piliyandala,"Beds-5, Baths-4 Size-3500sqft",,"55,000,000","781,456"
House For Sale In Piliyandala,"Beds-5, Baths-4 Size-4000sqft",,"59,500,000","845,394"
Land For Sale In Kahathuduwa,30 Perches,,"10,500,000","149,187"
Land For Sale In Battaramulla,20 Perches,,"12,000,000","170,500"
Land For Sale In Pita Kotte,30 Perches,,"3,800,000","53,992"
House For Sale In Nugegoda,"Beds-6, Baths-5 Size-7500sqft",,"200,000,000","2,841,659"
Land For Sale In Nawala,10 Perches,,"4,900,000","69,621"
House For Sale In Nawala,"Beds-4, Baths-4 Size-3500sqft",,"90,000,000","1,278,747"
Land For Sale In Gampaha,9 Perches,,"20,700,000","294,112"
Land For Sale In Kadugannawa,5 Acres,,"32,500,000","461,770"
House For Sale In Boralesgamuwa,"Beds-4, Baths-3 Size-3900sqft",,"95,000,000","1,349,788"
Land For Sale In Homagama,10 Perches,,"4,500,000","63,937"
House For Sale In Nugegoda,"Beds-5, Baths-5 Size-3890sqft",,"79,000,000","1,122,455"
House For Sale In Kotte,"Beds-4, Baths-4 Size-4200sqft",,"95,000,000","1,349,788"
Holiday Bungalow For Sale In Alutgama,"Beds-15, Baths-4",,"900,000,000","12,787,466"
Apartment For Sale In Dehiwala,"Beds-3, Baths-3 Size-1350sqft",,"42,000,000",
House For Sale In Talawatugoda,"Beds-8, Baths-5 Size-6500sqft",,"165,000,000","2,344,369"
Land For Sale In Avissawella,10 Perches,,"2,500,000","35,521"
Apartment For Sale In Colombo 05,"Beds-3, Baths-3 Size-1780sqft",,"70,000,000","994,581"
Land For Sale In Homagama,10 Perches,,"4,500,000","63,937"
Land For Rent In Colombo 03,11 Perches,,,"350,000"
House For Sale In Udugampola,"Beds-3, Baths-1 Size-1200sqft",,"4,000,000","56,833"
Land For Sale In Hanwella,10 Perches,,"2,800,000","39,783"
House For Sale In Talawatugoda,"Beds-4, Baths-4 Size-4675sqft",,"125,000,000","1,776,037"
House For Sale In Moratuwa,"Beds-4, Baths-3 Size-3200sqft",,"46,500,000","660,686"
House For Sale In Kandana,"Beds-5, Baths-2 Size-3500sqft",,"29,750,000","422,697"
Land For Sale In Pitipana Homagama,10 Perches,,"3,500,000","49,729"
House For Sale In Ja-Ela,"Beds-5, Baths-2 Size-2200sqft",,"15,000,000",
Land For Sale In Hanwella,10 Perches,,"3,000,000","42,625"
House For Sale In Homagama,"Beds-4, Baths-2 Size-1950sqft",,"19,500,000","277,062"
Land For Sale In Kamburugamuwa,20 Perches,,,
House For Sale In Lbbagamuwa,"Beds-3, Baths-1 Size-2500sqft",,"14,500,000","206,020"
House For Sale In Kottawa,"Beds-3, Baths-2 Size-sqft",,"19,000,000","269,958"
Land For Sale In Homagama,6 Perches,,"6,000,000","85,250"
House For Sale In Maharagama,"Beds-4, Baths-2 Size-1400sqft",,"47,000,000","667,790"
House For Sale In Rajagiriya,"Beds-5, Baths-4 Size-3403sqft",,"58,000,000","824,081"
Land For Sale In Godagama,10 Perches,,"3,500,000","49,729"
House For Sale In Nugegoda,"Beds-4, Baths-4 Size-3500sqft",,,
Land For Sale In Avissawella,10 Perches,,"2,800,000","39,783"
Land For Sale In Anuradhapura,15 Perches,,"3,450,000","49,019"
Land For Sale In Homagama,10 Perches,,"4,500,000","63,937"
Land For Sale In Hanwella,10 Perches,,"3,000,000","42,625"
Land For Sale In Gonapola Junction,10 Perches,,"4,500,000","63,937"
Land For Sale In Moratuwa,20 Perches,,"32,000,000","454,665"
Land For Sale In Nugegoda,20 Perches,,"5,800,000","82,408"
House For Sale In Talawatugoda,"Beds-4, Baths-4 Size-3800sqft",,"58,000,000","824,081"
Land For Sale In Nugegoda,12 Perches,,"3,800,000","53,992"
House For Sale In Piliyandala,"Beds-3, Baths-2 Size-1242sqft",,"18,500,000","262,853"
House For Sale In Talawatugoda,"Beds-4, Baths-3 Size-2800sqft",,"68,000,000","966,164"
House With Land For Sale In Kurunegala,"Beds-4, Baths-1 Size-600sqft",,"11,500,000","163,395"
House For Sale In Ja-Ela,"Beds-4, Baths-3 Size-3000sqft",,"55,000,000","781,456"
House For Sale In Piliyandala,"Beds-4, Baths-3 Size-1715sqft",,"29,000,000","412,041"
Shop For Sale In Maharagama,1100sqft,,"80,000,000","1,136,664"
House For Sale In Matara,"Beds-5, Baths-2 Size-2900sqft",,"13,800,000","196,074"
House For Sale In Maharagama,"Beds-5, Baths-4 Size-3208sqft",,"45,000,000","639,373"
House For Sale In Nugegoda,"Beds-5, Baths-4 Size-4100sqft",,"170,000,000","2,415,410"
House For Sale In Talawatugoda,"Beds-3, Baths-3 Size-2400sqft",,"55,000,000","781,456"
House For Sale In Malabe,"Beds-4, Baths-2 Size-2061sqft",,"17,500,000","248,645"
House For Sale In Kurunegala,"Beds-3, Baths-1 Size-sqft",,"12,000,000","170,500"
House For Sale In Kuruwita,"Beds-2, Baths-1 Size-sqft",,"25,000,000","355,207"
Land For Sale In Nittambuwa,16 Perches,,"2,640,000","37,510"
House For Sale In Nittambuwa,"Beds-3, Baths-1 Size-2400sqft",,"63,000,000","895,123"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
House For Sale In Nugegoda,"Beds-4, Baths-4 Size-3500sqft",,"92,000,000","1,307,163"
Land For Sale In Kandy,1 Acres,,,
House For Sale In Piliyandala,"Beds-5, Baths-4 Size-2460sqft",,"48,000,000","681,998"
Land For Sale In Nittambuwa,10 Perches,,"2,700,000","38,362"
Land For Sale In Horana,10 Perches,,"1,800,000","25,575"
House For Sale In Talawatugoda,"Beds-4, Baths-4 Size-4000sqft",,"89,000,000","1,264,538"
Land For Sale In Meegoda,10 Perches,,"3,800,000","53,992"
Warehouse For Rent In Nawala,3000sqft,,,"100,000"
Annex For Rent In Kadawatha,"Beds-2, Baths-1",,,"18,000"
Land For Sale In Homagama,7 Perches,,"4,025,000","57,188"
House For Sale In Athurugiriya,"Beds-3, Baths-2 Size-1250sqft",,"22,500,000","319,687"
Land With House For Sale In Weligama,60 Perches,,"46,500,000","660,686"
Land For Sale In Dewalapola,47.5 Perches,,"16,625,000","236,213"
House For Sale In Athurugiriya,"Beds-2, Baths-1 Size-1200sqft",,"17,000,000","241,541"
Land For Sale In Meegoda,6 Perches,,"3,750,000","53,281"
House For Sale In Malabe,"Beds-4, Baths-3 Size-3300sqft",,"55,000,000","781,456"
House For Sale In Piliyandala,"Beds-4, Baths-2 Size-1800sqft",,"22,000,000","312,583"
House For Sale In Athurugiriya,"Beds-3, Baths-2 Size-1200sqft",,"18,500,000","262,853"
House For Sale In Battaramulla,"Beds-4, Baths-3 Size-1900sqft",,"47,500,000","674,894"
Land For Sale In Yakkala,12.5 Perches,,"2,500,000","35,521"
Land For Sale In Athurugiriya,8.8 Perches,,"3,960,000","56,265"
House For Sale In Kaduwela,"Beds-3, Baths-1 Size-1400sqft",,"27,000,000","383,624"
House For Sale In Polgasowita,"Beds-2, Baths-1 Size-742sqft",,"16,500,000","234,437"
Land For Sale In Homagama,6.3 Perches,,"4,725,000","67,134"
House For Rent In Kahathuduwa,"Beds-2, Baths-1 Size-700sqft",,,"28,000"
Land For Sale In Kahathuduwa,23.9 Perches,,"9,321,000","132,436"
Office For Rent In Kandy,500sqft,,,"60,000"
House For Sale In Wathurugama,"Beds-3, Baths-1 Size-500sqft",,"6,500,000","92,354"
Land For Sale In Kaduwela,10 Perches,,,
Land For Sale In Kahathuduwa,48 Perches,,"21,600,000","306,899"
Land For Sale In Pokunuwita,10 Perches,,"3,250,000","46,177"
House For Sale In Kadawatha,"Beds-3, Baths-2 Size-500sqft",,"29,000,000","412,041"
Land For Sale In Yatadolawatta,10 Perches,,"5,500,000","78,146"
House For Sale In Peradeniya,"Beds-6, Baths-3 Size-2500sqft",,,
House For Sale In Lbbagamuwa,"Beds-3, Baths-1 Size-2500sqft",,"14,500,000","206,020"
House For Sale In Meegoda,"Beds-3, Baths-3 Size-2500sqft",,"15,500,000","220,229"
Land For Sale In Kottawa,6.3 Perches,,"4,725,000","67,134"
Land With House For Sale In Divulapitiya,48 Perches,,"8,500,000","120,771"
House For Sale In Negombo,"Beds-2, Baths-1 Size-1400sqft",,"95,000,000","1,349,788"
House For Sale In Kundasale,"Beds-5, Baths-4 Size-5400sqft",,"40,000,000","568,332"
House For Sale In Negombo,"Beds-3, Baths-2 Size-1510sqft",,"21,500,000","305,478"
House For Sale In Padukka,"Beds-3, Baths-1 Size-sqft",,"9,000,000","127,875"
House For Sale In Negombo,"Beds-3, Baths-2 Size-1550sqft",,"18,200,000","258,591"
House For Sale In Negombo,"Beds-7, Baths-8 Size-4600sqft",,"89,500,000","1,271,642"
House For Sale In Negombo,"Beds-4, Baths-2 Size-1650sqft",,"24,000,000","340,999"
House For Sale In Negombo,"Beds-5, Baths-3 Size-4976sqft",,"62,500,000","888,019"
Land For Sale In Mirigama,60 Perches,,"3,000,000","42,625"
House For Sale In Negombo,"Beds-3, Baths-2 Size-1650sqft",,"33,000,000","468,874"
Land For Sale In Maggona,12.5 Perches,,"1,500,000","21,312"
Land For Sale In Dharga Town,12.5 Perches,,"1,250,000","17,760"
Land For Sale In Matugama,10 Perches,,"5,500,000","78,146"
Land For Sale In Dodangoda,10 Perches,,"5,500,000","78,146"
House For Sale In Homagama,"Beds-3, Baths-3 Size-2722sqft",,"29,000,000","412,041"
House For Sale In Kalutara,"Beds-3, Baths-1 Size-1000sqft",,"9,500,000","134,979"
Land For Sale In Nittambuwa,12.5 Perches,,"2,000,000","28,417"
House For Sale In Lbbagamuwa,"Beds-3, Baths-1 Size-2500sqft",,"14,500,000","206,020"
House For Rent In Ragama,"Beds-2, Baths-1 Size-sqft",,,"35,000"
Land For Sale In Thihariya,4 Perches,,"3,000,000","42,625"
House For Sale In Ja-Ela,"Beds-3, Baths-1 Size-1000sqft",,"9,800,000","139,241"
House For Sale In Minuwangoda,"Beds-3, Baths-1 Size-1000sqft",,"8,450,000","120,060"
House For Sale In Morontuduwa,"Beds-3, Baths-2 Size-990sqft",,"4,500,000","63,937"
House For Sale In Godagama,"Beds-4, Baths-2 Size-1905sqft",,"28,500,000","404,936"
House For Sale In Homagama,"Beds-3, Baths-3 Size-1769sqft",,"28,800,000","409,199"
House For Sale In Kahathuduwa,"Beds-2, Baths-2 Size-1000sqft",,"13,500,000","191,812"
House For Sale In Haltota,"Beds-4, Baths-1 Size-1000sqft",,"29,000,000","412,041"
Apartment For Sale In Rajagiriya,"Beds-2, Baths-2 Size-887sqft",,"35,000,000","497,290"
House For Sale In Piliyandala,"Beds-3, Baths-1 Size-2488sqft",,"18,000,000","255,749"
Land For Sale In Mirigama,185 Perches,,"15,725,000","223,425"
House For Sale In Piliyandala,"Beds-4, Baths-4 Size-2158sqft",,"38,000,000","539,915"
House For Sale In Piliyandala,"Beds-3, Baths-1 Size-1633sqft",,"22,500,000","319,687"
House For Sale In Pannipitiya,"Beds-6, Baths-5 Size-2041sqft",,"56,000,000","795,665"
House For Sale In Colombo 06,"Beds-3, Baths-3 Size-1680sqft",,"70,000,000","994,581"
House For Sale In Piliyandala,"Beds-4, Baths-4 Size-2158sqft",,"35,000,000","497,290"
House For Sale In Piliyandala,"Beds-3, Baths-1 Size-1633sqft",,"22,500,000","319,687"
House For Sale In Gampaha,"Beds-4, Baths-2 Size-2314sqft",,,
